t,j0_x,j0_y,j1_x,j1_y
0.0,0.0,0.0,0.0,0.0
0.01,0.1,0.1,0.10005,0.0005
0.02,0.2,0.2,0.20020000000000002,0.002
0.03,0.3,0.3,0.30045,0.0045
0.04,0.4,0.4,0.40080000000000005,0.008
0.05,0.5,0.5,0.50125,0.012500000000000002
0.06,0.6,0.6,0.6018,0.018
0.07,0.7000000000000001,0.7000000000000001,0.70245,0.024500000000000004
0.08,0.8,0.8,0.8032,0.032
0.09,0.8999999999999999,0.8999999999999999,0.9040499999999999,0.040499999999999994
0.1,1.0,1.0,1.005,0.05000000000000001
0.11,1.1,1.1,1.1060500000000002,0.0605
0.12,1.2,1.2,1.2072,0.072
0.13,1.3,1.3,1.3084500000000001,0.0845
0.14,1.4000000000000001,1.4000000000000001,1.4098000000000002,0.09800000000000002
0.15,1.5,1.5,1.51125,0.11249999999999999
0.16,1.6,1.6,1.6128,0.128
0.17,1.7000000000000002,1.7000000000000002,1.7144500000000003,0.14450000000000002
0.18,1.7999999999999998,1.7999999999999998,1.8161999999999998,0.16199999999999998
0.19,1.9,1.9,1.9180499999999998,0.1805
0.2,2.0,2.0,2.02,0.20000000000000004
0.21,2.1,2.1,2.12205,0.22049999999999997
0.22,2.2,2.2,2.2242,0.242
0.23,2.3000000000000003,2.3000000000000003,2.3264500000000004,0.2645
0.24,2.4,2.4,2.4288,0.288
0.25,2.5,2.5,2.53125,0.3125
0.26,2.6,2.6,2.6338,0.338
0.27,2.7,2.7,2.73645,0.36450000000000005
0.28,2.8000000000000003,2.8000000000000003,2.8392000000000004,0.39200000000000007
0.29,2.9,2.9,2.94205,0.4205
0.3,3.0,3.0,3.045,0.44999999999999996
0.31,3.1,3.1,3.14805,0.48050000000000004
0.32,3.2,3.2,3.2512000000000003,0.512
0.33,3.3000000000000003,3.3000000000000003,3.3544500000000004,0.5445000000000001
0.34,3.4000000000000004,3.4000000000000004,3.4578,0.5780000000000001
0.35000000000000003,3.5000000000000004,3.5000000000000004,3.5612500000000002,0.6125000000000002
0.36,3.5999999999999996,3.5999999999999996,3.6647999999999996,0.6479999999999999
0.37,3.7,3.7,3.76845,0.6845
0.38,3.8,3.8,3.8722,0.722
0.39,3.9000000000000004,3.9000000000000004,3.9760500000000003,0.7605000000000001
0.4,4.0,4.0,4.08,0.8000000000000002
0.41000000000000003,4.1000000000000005,4.1000000000000005,4.184050000000001,0.8405000000000001
0.42,4.2,4.2,4.2882,0.8819999999999999
0.43,4.3,4.3,4.39245,0.9244999999999999
0.44,4.4,4.4,4.4968,0.968
0.45,4.5,4.5,4.60125,1.0125000000000002
0.46,4.6000000000000005,4.6000000000000005,4.705800000000001,1.058
0.47000000000000003,4.7,4.7,4.81045,1.1045000000000003
0.48,4.8,4.8,4.9152,1.152
0.49,4.9,4.9,5.02005,1.2005
0.5,5.0,5.0,5.125,1.25
0.51,5.1,5.1,5.230049999999999,1.3005
0.52,5.2,5.2,5.3352,1.352
0.53,5.300000000000001,5.300000000000001,5.440450000000001,1.4045
0.54,5.4,5.4,5.545800000000001,1.4580000000000002
0.55,5.5,5.5,5.65125,1.5125000000000002
0.56,5.6000000000000005,5.6000000000000005,5.7568,1.5680000000000003
0.5700000000000001,5.700000000000001,5.700000000000001,5.862450000000001,1.6245000000000003
0.58,5.8,5.8,5.9681999999999995,1.682
0.59,5.8999999999999995,5.8999999999999995,6.07405,1.7405
0.6,6.0,6.0,6.18,1.7999999999999998
0.61,6.1,6.1,6.2860499999999995,1.8605
0.62,6.2,6.2,6.3922,1.9220000000000002
0.63,6.3,6.3,6.49845,1.9845000000000002
0.64,6.4,6.4,6.6048,2.048
0.65,6.5,6.5,6.71125,2.1125000000000003
0.66,6.6000000000000005,6.6000000000000005,6.817800000000001,2.1780000000000004
0.67,6.7,6.7,6.92445,2.2445000000000004
0.68,6.800000000000001,6.800000000000001,7.031200000000001,2.3120000000000003
0.6900000000000001,6.9,6.9,7.138050000000001,2.3805000000000005
0.7000000000000001,7.000000000000001,7.000000000000001,7.245000000000001,2.4500000000000006
0.71,7.1,7.1,7.352049999999999,2.5205
0.72,7.199999999999999,7.199999999999999,7.459199999999999,2.5919999999999996
0.73,7.3,7.3,7.56645,2.6644999999999994
0.74,7.4,7.4,7.6738,2.738
0.75,7.5,7.5,7.78125,2.8125
0.76,7.6,7.6,7.8888,2.888
0.77,7.7,7.7,7.99645,2.9645
0.78,7.800000000000001,7.800000000000001,8.1042,3.0420000000000003
0.79,7.9,7.9,8.21205,3.1205000000000007
0.8,8.0,8.0,8.32,3.2000000000000006
0.81,8.100000000000001,8.100000000000001,8.42805,3.280500000000001
0.8200000000000001,8.200000000000001,8.200000000000001,8.536200000000001,3.3620000000000005
0.8300000000000001,8.3,8.3,8.64445,3.4445000000000006
0.84,8.4,8.4,8.7528,3.5279999999999996
0.85,8.5,8.5,8.86125,3.6125
0.86,8.6,8.6,8.9698,3.6979999999999995
0.87,8.7,8.7,9.07845,3.7845
0.88,8.8,8.8,9.1872,3.872
0.89,8.9,8.9,9.296050000000001,3.9605
0.9,9.0,9.0,9.405,4.050000000000001
0.91,9.1,9.1,9.51405,4.1405
0.92,9.200000000000001,9.200000000000001,9.6232,4.232
0.93,9.3,9.3,9.73245,4.3245000000000005
0.9400000000000001,9.4,9.4,9.841800000000001,4.418000000000001
0.9500000000000001,9.5,9.5,9.95125,4.5125
0.96,9.6,9.6,10.0608,4.608
0.97,9.7,9.7,10.170449999999999,4.7044999999999995
0.98,9.8,9.8,10.2802,4.802
0.99,9.9,9.9,10.39005,4.9005
1.0,10.0,10.0,10.5,5.0
1.01,10.1,10.1,10.61005,5.1005
1.02,10.2,10.2,10.720199999999998,5.202
1.03,10.3,10.3,10.83045,5.3045
1.04,10.4,10.4,10.940800000000001,5.408
1.05,10.5,10.5,11.05125,5.5125
1.06,10.600000000000001,10.600000000000001,11.161800000000001,5.618
1.07,10.700000000000001,10.700000000000001,11.272450000000001,5.7245
1.08,10.8,10.8,11.3832,5.832000000000001
1.09,10.9,10.9,11.49405,5.940500000000001
1.1,11.0,11.0,11.605,6.050000000000001
1.11,11.100000000000001,11.100000000000001,11.716050000000001,6.160500000000001
